pack_id,donor_id,pack_count,lst_vers,user_resp,accepted_date,scope,about,author,contentReferenceTime,license_is_explicit,license,uri_objType,uri,isAt_UrbiGIS,status,statusUpdateDate
00101,1,1,001,claiton,2022-04-18,CL,"Planet OSM, todos os dados ",(self),2022-04-17,yes,odbl-1.0,site,http://download.geofabrik.de/south-america/chile-latest.osm.pbf,no,working-makefile,
00201,2,1,001,carlos,2022-11-14,CL-LL-PuertoMontt,-,(self),-,no,-,-,-,-,-,-
00301,5,1,001,carlos,2024-02-07,CL,-,(self),2024-02-07,no,-,-,-,-,-,-
00401,4,1,001,carlos,2024-02-07,CL,-,(self),2024-02-07,no,-,-,-,-,-,-
00401,4,2,001,carlos,2024-02-07,CL,-,(self),2024-02-07,no,-,-,-,-,-,-
